id;order;family;genera;species;author;tax_ver;nature_BR;nativa_AF;Cnc_classification;floweringstart_month;floweringperiod_month;plantgrowth;flower_color_1;flower_color_2;flower_shape;odour;anthesis_time;corolla_length_mm;corolla_length_mm_sd;nectar_volume;nectar_volume_uL_SD;nectar_concentration_brix%;nectar_concentration_brix%_SD;observation_time_hour;n_input;;
31;Asterales;Campanulaceae;Siphocampylus;lauroanus;Handro & M.Kuhlm.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;11;h;r;NA;t;a;d;36.80;1.30;0.46;NA;15.00;NA;50.0;2;;
32;Asterales;Campanulaceae;Siphocampylus;longipedunculatus;Pohl;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;r;NA;t;a;d;37.10;2.35;1.18;NA;29.90;NA;65.0;3;;
33;Asterales;Campanulaceae;Siphocampylus;sp.;Pohl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;t;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
34;Asterales;Campanulaceae;Siphocampylus;sulfureus;E.Wimm.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;6;b;y;NA;t;p;d;25.10;1.10;2.62;1.23;12.85;6.40;16.3;2;;
35;Asterales;Campanulaceae;Siphocampylus;umbellatus;(Kunth) G.Don;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;5;b;b;NA;t;p;NA;NA;NA;NA;NA;NA;NA;48.0;1;;
36;Asterales;Campanulaceae;Siphocampylus;westinianus;(Thunb.) Pohl;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;6;b;y;NA;t;a;d;48.88;1.28;4.27;2.10;20.00;2.60;22.0;3;;
37;Boraginales;Boraginaceae;Varronia;multispicata;(Cham.) Borhidi;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;w;NA;t;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
38;Brassicales;Capparaceae;Cynophalla;flexuosa;(L.) J.Presl;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;w;NA;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
39;Brassicales;Caricaceae;Carica;papaya;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;4;5;tr;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
40;Brassicales;Caricaceae;Jacaratia;spinosa;(Aubl.) A.DC.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;11;2;tr;b;y;h;NA;n;12.00;1.50;2.00;1.88;12.93;2.72;25.0;2;;
41;Caryophyllales;Cactaceae;Melocactus;violaceus;Pfeiff.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;1;12;b;r;NA;t;NA;d;13.00;1.47;0.75;0.47;25.74;4.00;78.0;3;;
42;Caryophyllales;Cactaceae;Pilosocereus;catingicola subsp. salvadorensis;(Werderm.) Zappi;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;5;b;g;NA;t;p;n;67.50;2.50;36.67;06.04;23.00;0.40;NA;1;;
43;Caryophyllales;Cactaceae;Rhipsalis;sp.;Gaertn.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;w;NA;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
44;Caryophyllales;Cactaceae;Schlumbergera;opuntioides;(Loefgr. & Dusén) D.R.Hunt;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;6;5;e;r;NA;t;NA;NA;36.30;1.60;14.00;7.22;38.50;9.20;NA;1;;
45;Caryophyllales;Nyctaginaceae;Bougainvillea;spectabilis;Willd.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;5;t;r;NA;t;NA;NA;19.26;1.33;NA;NA;NA;NA;10.8;1;;
46;Cucurbiltales;Cucurbitaceae;Gurania;acuminata;Cogn.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;1;12;l;y;NA;t;a;d;11.58;0.93;3.45;2.55;6.25;0.98;36.0;1;;
47;Cucurbiltales;Cucurbitaceae;Psiguria;triphylla;(Miq.) C.Jeffrey;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;2;l;r;NA;t;NA;d;15.00;0.70;14.62;0.52;23.30;0.30;7.5;1;;
48;Cucurbiltales;Cucurbitaceae;Wilbrandia;glaziovii;Cogn.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;3;l;r;NA;t;a;d;15.00;0.20;NA;NA;22.20;0.30;NA;1;;
49;Ericales;Balsaminaceae;Impatiens;walleriana;Hook. f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;1;12;h;r;NA;s;NA;d;14.30;2.48;0.31;0.14;23.33;2.42;30.0;2;;
50;Ericales;Ericaceae;Agarista;hispidula;(DC.) Hook. F. ex Nied.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;6;b;r;NA;t;a;d;10.26;1.00;0.49;0.18;22.60;4.60;40.5;2;;
51;Ericales;Ericaceae;Agarista;oleifolia;(Cham.) G.Don;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;9;4;tr;r;NA;t;NA;NA;10.10;0.60;0.72;0.20;11.50;2.20;NA;1;;
52;Ericales;Ericaceae;Gaultheria;eriophylla;(Pers.) Sleumer ex Burtt;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;t;a;d;6.43;0.44;0.23;0.07;14.00;3.56;44.5;2;;
53;Ericales;Ericaceae;Gaultheria;serrata;(Vell.) Sleumer ex Kin.-Gouv.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;t;a;d;7.54;0.41;0.18;0.12;9.50;2.27;31.5;2;;
54;Ericales;Ericaceae;Gaultheria;sleumeriana;Kin.-Gouv.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;cr;9;4;b;w;NA;b;a;d;5.40;0.42;1.20;0.54;27.30;5.46;23.0;1;;
55;Ericales;Ericaceae;Gaylussacia;brasiliensis;(Spreng.) Meisn.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;t;a;NA;5.35;0.80;0.46;0.26;19.93;4.29;78.0;1;;
56;Ericales;Ericaceae;Gaylussacia;densa;Cham.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;t;a;d;9.80;0.27;1.15;0.47;13.40;4.25;51.5;1;;
57;Ericales;Marcgraviaceae;Marcgravia;aff. polyantha;NA;NA;NA;NA;NA;3;4;l;w;NA;b;NA;NA;12.70;1.00;24.90;3.45;10.60;0.80;NA;1;;
58;Ericales;Marcgraviaceae;Marcgravia;comosa;C.Presl;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;5;l;b;w;h;p;n;47.50;12.50;NA;NA;9.00;1.00;14.0;3;;
59;Ericales;Marcgraviaceae;Marcgravia;polyantha;Delpino;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;12;l;w;b;h;p;d;22.15;2.10;27.71;2.95;11.36;1.62;8.0;4;;
60;Ericales;Marcgraviaceae;Schwartzia;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;4;l;r;NA;t;a;b;23.47;1.80;16.89;7.90;10.07;2.81;71.3;10;;
61;Ericales;Marcgraviaceae;Souroubea;guianensis;Aubl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;3;l;y;NA;t;p;n;NA;NA;0.19;0.04;29.75;14.61;105.0;1;;
62;Ericales;Sapotaceae;Manilkara;sp.;Adans.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
63;Fabales;Fabaceae;Abarema;brachystachya;(DC.) Barneby & J.W. Grimes;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;1;tr;w;NA;h;NA;d;9.60;1.00;NA;NA;12.70;1.50;4.5;1;;
64;Fabales;Fabaceae;Albizia;pedicellaris;(Dc.) L.Rico;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;1;tr;w;NA;h;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
65;Fabales;Fabaceae;Bauhinia;cf. rufa;NA;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;NA;NA;t;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;1;;
66;Fabales;Fabaceae;Bauhinia;forficata;Link;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;1;tr;w;NA;g;NA;n;NA;NA;NA;NA;25.08;2.72;NA;1;;
67;Fabales;Fabaceae;Bauhinia;purpurea;Wall.;The Plant List;NA;NA;ne;4;6;tr;r;NA;NA;a;b;NA;NA;NA;NA;NA;NA;NA;1;;
68;Fabales;Fabaceae;Bauhinia;rufa;(Bong.) Steud;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;NA;NA;t;w;NA;t;p;n;NA;NA;NA;NA;NA;NA;NA;2;;
69;Fabales;Fabaceae;Bauhinia;sp. 1;L.;NA;NA;N;ne;NA;NA;NA;NA;NA;h;p;NA;NA;NA;NA;NA;NA;NA;NA;1;;
70;Fabales;Fabaceae;Bauhinia;sp. 2;L.;NA;NA;N;NA;NA;NA;NA;NA;NA;h;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
71;Fabales;Fabaceae;Bauhinia;sp. 3;L.;NA;NA;N;NA;NA;NA;NA;NA;NA;h;NA;NA;NA;NA;NA;NA;NA;NA;10.0;1;;
72;Fabales;Fabaceae;Bauhinia;sp. 4;L.;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;1;;
73;Fabales;Fabaceae;Bauhinia;variegata;L.;The Plant List;exo;NA;NA;5;4;tr;w;NA;NA;NA;NA;18.44;2.65;NA;NA;NA;NA;NA;1;;
74;Fabales;Fabaceae;Calliandra;harrisii;(Lindl.) Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;h;NA;NA;NA;NA;NA;NA;NA;NA;6.0;1;;
