id;order;family;genera;species;author;tax_ver;nature_BR;nativa_AF;Cnc_classification;floweringstart_month;floweringperiod_month;plantgrowth;flower_color_1;flower_color_2;flower_shape;odour;anthesis_time;corolla_length_mm;corolla_length_mm_sd;nectar_volume;nectar_volume_uL_SD;nectar_concentration_brix%;nectar_concentration_brix%_SD;observation_time_hour;n_input;;
187;Lamiales;Gesneriaceae;Besleria;selloana;Klotzsch & Hanst.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;y;NA;NA;NA;NA;15.5;1.5;NA;NA;18;NA;NA;1;;
188;Lamiales;Gesneriaceae;Nematanthus;aff. fritschii;NA;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;NA;NA;NA;r;NA;t;NA;NA;46.00;NA;NA;NA;34.25;NA;NA;1;;
189;Lamiales;Gesneriaceae;Nematanthus;brasiliensis;(Vell.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;e;y;r;t;a;NA;58.00;4.00;0.89;0.40;31.80;5.26;60.0;1;;
190;Lamiales;Gesneriaceae;Nematanthus;cf. teixeranus;NA;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
191;Lamiales;Gesneriaceae;Nematanthus;corticola;Schrad.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;e;r;NA;t;a;d;53.84;2.33;NA;NA;21.55;7.85;60.0;2;;
192;Lamiales;Gesneriaceae;Nematanthus;crassifolius;(Schott) Wiehler;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;12;e;r;NA;t;a;d;49.51;4.14;0.52;NA;26.50;2.10;21.0;3;;
193;Lamiales;Gesneriaceae;Nematanthus;fissus;(Vell.) L.E.Skog;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;e;r;NA;t;NA;d;28.43;2.27;1.53;0.61;25.17;2.26;52.3;5;;
194;Lamiales;Gesneriaceae;Nematanthus;fluminensis;(Vell.) Fristch;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;e;y;NA;t;a;d;48.38;2.36;1.69;0.59;28.40;2.20;89.6;6;;
195;Lamiales;Gesneriaceae;Nematanthus;fornix;(Vell.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;10;5;e;r;NA;t;NA;NA;28.25;2.30;0.75;0.20;21.90;1.20;78.5;4;;
196;Lamiales;Gesneriaceae;Nematanthus;fritschii;Hoehne;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;9;e;r;NA;t;a;b;40.53;1.60;1.19;NA;28.70;NA;79.2;5;;
197;Lamiales;Gesneriaceae;Nematanthus;gregarius;D.L. Denham;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;9;e;r;NA;t;a;b;19.37;1.40;2.53;1.59;22.40;3.67;50.0;5;;
198;Lamiales;Gesneriaceae;Nematanthus;lanceolatus;(Poir.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;9;4;e;r;y;t;a;d;27.40;0.89;NA;NA;NA;NA;15.0;2;;
199;Lamiales;Gesneriaceae;Nematanthus;maculatus;(Fristsch) Wiehler;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;7;6;e;r;NA;t;a;b;43.70;1.10;NA;NA;NA;NA;50.0;1;;
200;Lamiales;Gesneriaceae;Nematanthus;monanthos;(Vell.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;en;11;11;e;NA;NA;t;NA;NA;NA;NA;4.31;NA;30.00;NA;NA;1;;
201;Lamiales;Gesneriaceae;Nematanthus;sericeus;(Hanst.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;nt;9;5;e;r;NA;t;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
202;Lamiales;Gesneriaceae;Nematanthus;sp. 1;Schrad.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
203;Lamiales;Gesneriaceae;Nematanthus;sp. 2;Schrad.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
204;Lamiales;Gesneriaceae;Nematanthus;striatus;(Handro) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;e;y;r;t;NA;d;22.60;2.50;3.40;2.59;23.65;6.99;36.0;2;;
205;Lamiales;Gesneriaceae;Nematanthus;tessmannii;(Hoehne) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;2;2;e;y;NA;t;NA;NA;25.07;0.46;NA;NA;NA;NA;2.0;1;;
206;Lamiales;Gesneriaceae;Paliavana;prasinata;(Ker-Gawler) Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;5;b;g;NA;g;p;n;33.00;2.30;3.42;1.58;14.30;3.60;30.0;1;;
207;Lamiales;Gesneriaceae;Paliavana;sericiflora;Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;4;b;y;r;g;p;b;43.00;3.60;3.62;1.75;23.20;2.00;69.0;1;;
208;Lamiales;Gesneriaceae;Paliavana;tenuiflora;Mansf.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;3;3;b;r;NA;b;a;d;71.31;4.5;0.13;0.14;22.69;10.15;180.0;1;;
209;Lamiales;Gesneriaceae;Seemannia;sylvatica;(Kunt.) Hanst.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;nt;3;7;h;r;NA;t;a;d;22.60;2.10;1.22;0.8;14.00;2.30;29.6;1;;
210;Lamiales;Gesneriaceae;Sinningia;allagophylla;(Mart.) Wiehler;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;5;h;r;NA;t;a;d;12.88;01.03;0.15;18.50;NA;NA;156.0;7;;
211;Lamiales;Gesneriaceae;Sinningia;brasiliensis;(Regel & Schmidt) Wiehler & Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;12;3;h;g;NA;g;p;n;33.00;1.90;3.54;1.75;17.50;2.60;22.0;1;;
212;Lamiales;Gesneriaceae;Sinningia;cochlearis;(Hook.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;cr;1;2;h;r;NA;t;a;d;26.40;0.70;0.29;0.09;22.50;1.90;25.0;1;;
213;Lamiales;Gesneriaceae;Sinningia;cooperi;(Paxton) Wiehler;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;4;e;r;NA;t;a;d;28.21;1.88;0.50;NA;25.15;NA;82.6;8;;
214;Lamiales;Gesneriaceae;Sinningia;douglasii;(Lindl.) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;12;e;r;NA;t;NA;d;32.80;1.90;1.57;0.60;26.90;1.20;51.0;3;;
215;Lamiales;Gesneriaceae;Sinningia;elatior;(Kunth) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;11;8;h;r;NA;t;a;d;30.43;2.80;0.58;NA;26.75;NA;50.0;2;;
216;Lamiales;Gesneriaceae;Sinningia;gigantifolia;Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;8;b;r;NA;t;a;d;38.55;1.75;0.42;0.09;22.10;1.10;45.0;3;;
217;Lamiales;Gesneriaceae;Sinningia;glazioviana;(Fritsch) Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;cr;1;12;h;r;NA;t;a;d;31.90;1.10;0.48;NA;25.40;NA;50.0;2;;
218;Lamiales;Gesneriaceae;Sinningia;sceptrum;(Mart.) Wiehler;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;4;h;r;NA;t;NA;d;46.60;2.90;NA;NA;NA;NA;72.0;1;;
219;Lamiales;Gesneriaceae;Sinningia;sp.;Nees;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;r;NA;t;NA;NA;31.00;1.20;2.26;1.58;25.91;5.17;NA;1;;
220;Lamiales;Gesneriaceae;Sinningia;tuberosa;(Mart.) H.E.Moore;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;1;6;h;r;NA;t;a;d;28.10;1.00;0.11;0.02;25.10;3.00;50.0;1;;
221;Lamiales;Gesneriaceae;Vanhouttea;brueggeri;Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;7;b;r;NA;t;a;d;35.90;0.90;0.88;0.17;26.90;1.20;58.0;1;;
222;Lamiales;Gesneriaceae;Vanhouttea;calcarata;Lem.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;2;3;b;r;NA;t;a;d;28.60;0.80;1.00;0.22;23.10;2.10;30.0;1;;
223;Lamiales;Gesneriaceae;Vanhouttea;hilariana;Chautems;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;7;b;r;NA;t;a;d;36.60;0.90;0.81;0.15;28.10;1.30;44.0;1;;
224;Lamiales;Lamiaceae;Hyptidendron;asperrimum;(Spreng.) Harley;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;8;4;t;NA;NA;f;NA;NA;NA;NA;NA;NA;NA;NA;4.4;1;;
225;Lamiales;Lamiaceae;Lepechinia;speciosa;(A.St.-Hil. Ex Benth.) Epling;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;4;b;r;NA;t;a;d;29.37;1.91;NA;NA;NA;NA;7.0;1;;
226;Lamiales;Lamiaceae;Salvia;arenaria;A.St.-Hil. ex Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;h;r;NA;g;NA;NA;15.70;1.20;1.20;0.52;26.00;1.40;13.0;2;;
227;Lamiales;Lamiaceae;Salvia;articulata;Epling;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;r;NA;g;NA;NA;43.00;NA;NA;NA;27.00;NA;NA;1;;
228;Lamiales;Lamiaceae;Salvia;balaustina;Pohl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;6;h;r;NA;g;NA;NA;36.60;1.60;1.10;0.75;22.50;3.10;7.0;1;;
229;Lamiales;Lamiaceae;Salvia;itatiaiensis;Dusén;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;7;b;r;NA;g;a;d;NA;NA;NA;NA;NA;NA;7.0;1;;
230;Lamiales;Lamiaceae;Salvia;sellowiana;Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;b;t;a;d;21.98;6.45;0.85;NA;27.50;2.50;15.0;3;;
231;Lamiales;Lamiaceae;Salvia;splendens;Sellow ex Roem. & Schult.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;r;NA;t;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
232;Lamiales;Orobanchaceae;Esterhazya;eitenorum;Barringer;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;7;9;b;r;NA;t;a;d;38.29;3.72;NA;NA;NA;NA;9.0;1;;
233;Lamiales;Orobanchaceae;Esterhazya;macrodonta;(Cham.) Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;5;b;r;NA;t;a;d;25.00;NA;0.34;0.14;20.00;6.16;73.0;1;;
234;Lamiales;Orobanchaceae;Esterhazya;splendida;J.C.Mikan.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;3;b;r;NA;g;NA;NA;29.60;2.30;2.80;0.97;14.30;2.10;11.0;1;;
235;Lamiales;Orobanchaceae;Velloziella;dracocephaloides;(Vell.) Baill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;6;l;r;NA;g;a;d;59.51;2.51;0.42;NA;11.75;NA;21.0;3;;
236;Lamiales;Rutaceae;Citrus;x aurantium;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;;
237;Lamiales;Scrophulariaceae;Buddleja;cf. stachyoides;NA;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;NA;NA;b;y;NA;t;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
238;Lamiales;Scrophulariaceae;Buddleja;speciosissima;Taub.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;7;8;b;r;NA;t;a;d;29.74;2.58;NA;NA;NA;NA;5.0;1;;
239;Lamiales;Scrophulariaceae;Buddleja;stachyoides;Cham. & Schldtl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;5;b;y;NA;t;NA;d;9.30;0.60;0.45;0.12;18.90;2.00;36.0;4;;
240;Lamiales;Verbenaceae;Citharexylum;myrianthum;Cham.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;2;tr;w;NA;t;NA;NA;20.10;2.90;3.55;1.39;13.29;2.57;NA;1;;
241;Lamiales;Verbenaceae;Lantana;camara;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;1;12;b;NA;NA;t;NA;b;9.39;0.65;0.23;0.09;14.60;4.53;108.4;7;;
242;Lamiales;Verbenaceae;Stachytarpheta;cayennensis;(Rich.) Vahl;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;11;b;h;NA;b;NA;d;7.86;0.41;0.10;0.04;14.40;4.67;30.0;2;;
243;Lamiales;Verbenaceae;Stachytarpheta;maximiliani;Schauer;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;1;b;b;NA;t;NA;NA;11.04;1.00;NA;NA;NA;NA;2.0;1;;
244;Liliales;Alstroemeriaceae;Alstroemeria;foliosa;Mart. ex Schult. & Schult.f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;4;h;r;NA;b;a;d;36.28;3.26;NA;NA;NA;NA;2.0;1;;
245;Liliales;Alstroemeriaceae;Alstroemeria;inodora;Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;9;7;h;r;NA;f;a;b;17.05;1.60;NA;NA;17.16;2.10;58.4;4;;
246;Liliales;Alstroemeriaceae;Alstroemeria;isabellana;Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;4;h;r;NA;t;a;d;26.85;3.12;NA;NA;17.20;NA;2.0;2;;
247;Liliales;Alstroemeriaceae;Alstroemeria;plantaginea;Mart. ex Schult. & Schult.f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;6;h;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.3;1;;
248;Liliales;Alstroemeriaceae;Bomarea;edulis;(Tussac) Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;7;10;l;r;NA;t;a;b;24.51;1.43;2.13;0.63;22.43;4.39;66.0;7;;
249;Malpighiales;Clusiaceae;Symphonia;globulifera;L.f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;2;tr;r;NA;t;a;NA;NA;NA;NA;NA;NA;NA;NA;4;;
250;Malpighiales;Euphorbiaceae;Euphorbia;pulcherrima;Willd. ex Klotzsch;The Plant List;exo;N;NA;5;4;b;r;NA;NA;NA;NA;6.68;0.12;NA;NA;NA;NA;NA;1;;
251;Malpighiales;Euphorbiaceae;Mabea;fistulifera;Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;9;tr;r;y;NA;p;b;14.50;5.50;NA;NA;NA;NA;370.0;4;;
252;Malpighiales;Passifloraceae;Mitostemma;glaziovii;Mast.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;7;2;l;g;NA;NA;p;d;NA;NA;0.36;0.39;15.38;4.24;6.0;1;;
253;Malpighiales;Passifloraceae;Passiflora;alliacea;Barb. Rodr.;The Plant List;nat;Y;ne;1;12;l;w;NA;d;NA;NA;NA;NA;9.94;3.63;36.08;10.39;78.0;2;;
254;Malpighiales;Passifloraceae;Passiflora;kermesina;Link & Otto;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;r;NA;d;p;d;NA;NA;03.07;02.06;32.65;1.70;13.5;4;;
255;Malpighiales;Passifloraceae;Passiflora;mucronata;Lam.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;5;l;w;y;d;p;b;NA;NA;NA;NA;20.78;5.39;68.0;4;;
256;Malpighiales;Passifloraceae;Passiflora;ovalis;Vell. ex M.Roem.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;6;l;y;NA;d;p;n;11.80;0.80;140.45;46.25;34.90;2.26;NA;3;;
257;Malpighiales;Passifloraceae;Passiflora;racemosa;Brot.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;NA;NA;l;r;NA;d;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
258;Malpighiales;Passifloraceae;Passiflora;silvestris;Vell.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;l;w;NA;d;p;n;NA;NA;NA;NA;23.27;7.26;NA;1;;
259;Malpighiales;Passifloraceae;Passiflora;sp.;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
260;Malpighiales;Passifloraceae;Passiflora;speciosa;Gardner;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;7;9;l;r;NA;d;p;d;NA;NA;NA;NA;39.90;5.12;7.0;3;;
261;Malpighiales;Violaceae;Paypayrola;blanchetiana;Tul.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;t;w;NA;t;p;n;9.00;NA;0.28;0.26;23.60;11.00;70.0;1;;
262;Malvales;Malvaceae;Callianthe;aff. regnelli;NA;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;10;6;NA;r;NA;b;p;b;NA;NA;9.15;1.30;16.60;7.30;NA;2;;
263;Malvales;Malvaceae;Callianthe;bedfordiana;(Hook.) Donnel;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;7;b;r;NA;b;p;b;29.37;3.58;NA;NA;NA;NA;15.0;3;;
264;Malvales;Malvaceae;Callianthe;fluviatilis;(Vell.) Donnel;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;y;NA;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;;
265;Malvales;Malvaceae;Callianthe;regnelli;(Miq.) Donnell;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;b;p;b;32.70;3.40;9.15;1.30;18.30;1.30;46.0;4;;
266;Malvales;Malvaceae;Callianthe;rufinerva;(A. St.Hil.) Donnell;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;9;b;r;y;b;p;n;9.30;1.90;9.69;5.84;13.23;2.83;197.0;5;;
267;Malvales;Malvaceae;Callianthe;sp.;NA;NA;nat;Y;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
268;Malvales;Malvaceae;Ceiba;speciosa;(A. St. Hill) Ravenna;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;10;tr;r;NA;d;a;b;NA;NA;NA;NA;NA;NA;NA;3;;
269;Malvales;Malvaceae;Dombeya;wallichii;(Lindl.) K.Schum.;The Plant List;exo;N;NA;NA;NA;b;r;NA;d;NA;NA;NA;NA;3.2;1;21.6;8.6;NA;1;;
270;Malvales;Malvaceae;Eriotheca;pentaphylla;(Vell. & K. Schum.) A. Robyns;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;4;tr;y;w;h;a;b;17.48;2.21;75.09;27.12;9.53;1.73;17.0;4;;
271;Malvales;Malvaceae;Helicteres;brevispira;A. St. Hil.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;6;t;y;r;t;a;d;16.00;0.50;NA;NA;NA;NA;11.0;3;;
272;Malvales;Malvaceae;Helicteres;macropetala;A. St. Hil.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;10;t;r;NA;t;NA;b;10.70;1.00;1.92;0.15;20.30;4.60;14.3;1;;
273;Malvales;Malvaceae;Helicteres;ovata;Lam.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;r;NA;t;p;n;NA;NA;NA;NA;16.00;2.60;NA;2;;
274;Malvales;Malvaceae;Hibiscus;peruvianus;R.E.Fr.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;12;3;t;y;NA;t;NA;d;57.20;4.20;NA;NA;NA;NA;NA;1;;
275;Malvales;Malvaceae;Hibiscus;rosa-sinensis;L.;The Plant List;exo;N;ne;4;6;b;r;NA;b;NA;NA;15.00;NA;NA;NA;NA;NA;NA;3;;
276;Malvales;Malvaceae;Luehea;grandiflora;Mart. & Zucc.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;5;tr;w;NA;h;p;n;NA;NA;NA;NA;14.31;1.50;36.0;3;;
277;Malvales;Malvaceae;Malvaviscus;arboreus;Cav.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;NA;1;12;b;r;NA;t;NA;NA;46.29;6.58;9.16;1.65;12.65;5.29;74.0;3;;
278;Malvales;Malvaceae;Pachira;aquatica;Aubl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;5;t;r;NA;hea;p;n;250;NA;01.05;0.5;16.1;0.9;140.0;1;;
279;Malvales;Malvaceae;Pachira;calophylla;(K.Schum.) Fern. Alonso;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;7;tr;w;NA;h;p;n;96.00;NA;NA;NA;10.60;NA;70.0;1;;
