id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
1303;-25.31;-48.7;Vriesea;Vriesea;incurvata;Gaudich.;incurvata;Gaudich.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.18
1304;-25.31;-48.7;Acnistus;Acnistus;arborescens;(L.) Schltdl.;arborescens;(L.) Schltdl.;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.09
1305;-25.31;-48.7;Acnistus;Acnistus;arborescens;(L.) Schltdl.;arborescens;(L.) Schltdl.;Trochilinae;Lophornis;Lophornis;chalybeus;Temminck;chalybeus;(Temminck, 1821);hummingbird;NA;p;0.19
1306;-25.31;-48.7;Acnistus;Acnistus;arborescens;(L.) Schltdl.;arborescens;(L.) Schltdl.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.72
1307;-25.31;-48.7;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.55
1308;-25.31;-48.7;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.45
1309;-25.31;-48.7;Costus;Costus;spiralis;(Jacq.) Roscoe;spiralis;(Jacq.) Roscoe;Trochilinae;Aphantochroa;Aphantochroa;cirrhochloris;Vieillot;cirrochloris;(Vieillot, 1818);hummingbird;NA;p;0.02
1310;-25.31;-48.7;Costus;Costus;spiralis;(Jacq.) Roscoe;spiralis;(Jacq.) Roscoe;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.98
1311;-25.31;-48.7;Dahlstedtia;Dahlstedtia;pinnata;(Benth.) Malme;pinnata;(Benth.) Malme;Trochilinae;Florisuga;Florisuga;fusca;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;0.15
1312;-25.31;-48.7;Dahlstedtia;Dahlstedtia;pinnata;(Benth.) Malme;pinnata;(Benth.) Malme;Phaethornithinae;Phaethornis;Phaethornis;eurynome;Lesson;eurynome;(Lesson, 1832);hummingbird;NA;p;0.15
1313;-25.31;-48.7;Dahlstedtia;Dahlstedtia;pinnata;(Benth.) Malme;pinnata;(Benth.) Malme;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.23
1314;-25.31;-48.7;Dahlstedtia;Dahlstedtia;pinnata;(Benth.) Malme;pinnata;(Benth.) Malme;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.46
1315;-25.31;-48.7;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1316;-25.31;-48.7;Handroanthus;Handroanthus;umbellatus;(Sond.) Mattos;umbellatus;(Sond.) Mattos;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;1
1317;-25.31;-48.7;Heliconia;Heliconia;farinosa;Raddi.;farinosa;Raddi;Phaethornithinae;Phaethornis;Phaethornis;eurynome;Lesson;eurynome;(Lesson, 1832);hummingbird;NA;p;0.2
1318;-25.31;-48.7;Heliconia;Heliconia;farinosa;Raddi.;farinosa;Raddi;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.8
