id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
1;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;NA;0.02
2;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Phaethornithinae;Phaethornis;Phaethornis;pretrei;Lesson & DeLattre;pretrei;(Lesson & DeLattre, 1839);hummingbird;NA;NA;0.02
3;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.06
4;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.26
5;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;0.65
6;-20.75;-42.92;Corymborkis;Corymborkis;flava;(Sw.) Kuntze;flava;(Sw.) Kuntze;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;d'Orbigny & Lafresnaye;lucidus;(Shaw, 1812);hummingbird;NA;NA;0.25
7;-20.75;-42.92;Corymborkis;Corymborkis;flava;(Sw.) Kuntze;flava;(Sw.) Kuntze;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.75
8;-20.75;-42.92;Fridericia;Fridericia;speciosa;Mart.;speciosa;Mart.;Trochilinae;Calliphlox;Calliphlox;amethystina;Boddaert;amethystina;(Boddaer, 1783);hummingbird;NA;NA;0.44
9;-20.75;-42.92;Fridericia;Fridericia;speciosa;Mart.;speciosa;Mart.;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;d'Orbigny & Lafresnaye;lucidus;(Shaw, 1812);hummingbird;NA;NA;0.22
10;-20.75;-42.92;Fridericia;Fridericia;speciosa;Mart.;speciosa;Mart.;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.33
11;-20.75;-42.92;Heliconia;Heliconia;cf. simulans;Lane;cf. angusta;NA;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.63
12;-20.75;-42.92;Heliconia;Heliconia;cf. simulans;Lane;cf. angusta;NA;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.13
13;-20.75;-42.92;Heliconia;Heliconia;cf. simulans;Lane;cf. angusta;NA;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;0.25
14;-20.75;-42.92;Hyptis;Hyptidendron;asperrima;(Spring.) Epl.;asperrimum;(Spreng.) Harley;Trochilinae;Calliphlox;Calliphlox;amethystina;Boddaert;amethystina;(Boddaer, 1783);hummingbird;NA;NA;0.5
15;-20.75;-42.92;Hyptis;Hyptidendron;asperrima;(Spring.) Epl.;asperrimum;(Spreng.) Harley;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;d'Orbigny & Lafresnaye;lucidus;(Shaw, 1812);hummingbird;NA;NA;0.5
16;-20.75;-42.92;Justicia;Justicia;scheidweileri;V. A. W. Graham;scheidweileri;V. A. W. Graham;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.36
17;-20.75;-42.92;Justicia;Justicia;scheidweileri;V. A. W. Graham;scheidweileri;V. A. W. Graham;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.12
18;-20.75;-42.92;Justicia;Justicia;scheidweileri;V. A. W. Graham;scheidweileri;V. A. W. Graham;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;0.52
19;-20.75;-42.92;Lantana;Lantana;camara;L;camara;L.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.4
20;-20.75;-42.92;Lantana;Lantana;camara;L;camara;L.;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.6
21;-20.75;-42.92;Mendoncia;Mendoncia;velloziana;Ness;velloziana;Mart.;Trochilinae;Amazilia;Amazilia;lactea;Lesson;lactea;(Lesson, 1832);hummingbird;NA;NA;0.1
22;-20.75;-42.92;Mendoncia;Mendoncia;velloziana;Ness;velloziana;Mart.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.1
23;-20.75;-42.92;Mendoncia;Mendoncia;velloziana;Ness;velloziana;Mart.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;0.8
24;-20.75;-42.92;Mutisia;Mutisia;speciosa;Aiton ex Hook;speciosa;Aiton ex Hook.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;1
25;-20.75;-42.92;Passiflora;Passiflora;kermesina;Link & Otto;kermesina;Link & Otto;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;1
26;-20.75;-42.92;Passiflora;Passiflora;speciosa;Gardner;speciosa;Gardner;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;1
27;-20.75;-42.92;Rubus;Rubus;rosaefolius;Smith;rosifolius;Sm.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.8
28;-20.75;-42.92;Rubus;Rubus;rosaefolius;Smith;rosifolius;Sm.;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.2
29;-20.75;-42.92;Ruellia;Ruellia;brevifolia;(Pohl.) C. Ezcurra;brevifolia;(Pohl.) C. Ezcurra;Phaethornithinae;Phaethornis;Phaethornis;pretrei;Lesson & DeLattre;pretrei;(Lesson & DeLattre, 1839);hummingbird;NA;NA;0.05
30;-20.75;-42.92;Ruellia;Ruellia;brevifolia;(Pohl.) C. Ezcurra;brevifolia;(Pohl.) C. Ezcurra;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.35
31;-20.75;-42.92;Ruellia;Ruellia;brevifolia;(Pohl.) C. Ezcurra;brevifolia;(Pohl.) C. Ezcurra;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.6
32;-20.75;-42.92;Ruellia;Ruellia;subsessilis;Lindau;subsessilis;Lindau;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;1
33;-23.33;-44.83;Mucuna;Mucuna;urens;(L.) Medik;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;thr;p;1
33;-23.33;-44.83;Mucuna;Mucuna;urens;(L.) Medik;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;bel;p;1
33;-23.33;-44.83;Mucuna;Mucuna;urens;(L.) Medik;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;chi;p;1
33;-23.33;-44.83;Mucuna;Mucuna;urens;(L.) Medikus;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;win;p;1
34;-23.33;-44.83;Mucuna;Mucuna;japira;A. M. G. Azevedo et al.;japira;A. M. G. Azevedo et al.;;Cacicus;Cacicus;haemorrhous;Linnaeus;haemorrhous;(Linnaeus, 1766);bird;hea;p;0.16
35;-23.33;-44.83;Mucuna;Mucuna;japira;A. M. G. Azevedo et al.;japira;A. M. G. Azevedo et al.;Coerebinae;Coereba;Coereba;flaveola;Linnaeus;flaveola;(Linnaeus, 1758);bird;NA;l;0.79
36;-23.33;-44.83;Mucuna;Mucuna;japira;A. M. G. Azevedo et al.;japira;A. M. G. Azevedo et al.;Coerebinae;Coereba;Coereba;flaveola;Linnaeus;flaveola;(Linnaeus, 1758);bird;NA;p;0.03
37;-23.33;-44.83;Mucuna;Mucuna;japira;A. M. G. Azevedo et al.;japira;A. M. G. Azevedo et al.;;Psarocolius;Psarocolius;decumanus;Pallas;decumanus;(Pallas, 1769);bird;NA;p;0.01
38;-23.17;-44.2;Psychotria;Psychotria;brasiliensis;na;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Thalurania;Thalurania;glaucopis;(Gmelin, 1788);glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.95
39;-23.17;-44.2;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Thalurania;Thalurania;glaucopis;(Gmelin, 1788);glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.64
40;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;l;1
41;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;89
42;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Coerebinae;Coereba;Coereba;flaveola;Linnaeus;flaveola;(Linnaeus, 1758);bird;NA;l;0.4
43;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Trochilinae;Eupetomena;Eupetomena;macroura;Gmelin;macroura;(Gmelin, 1788);hummingbird;NA;l;0.05
44;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Tachyphoninae;Ramphocelus;Ramphocelus;bresilius;Linnaeus;bresilius;(Linnaeus, 1766);bird;NA;l;6
45;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;l;0.09
46;-23.17;-44.2;Erythrina;Erythrina;speciosa;Andrews;speciosa;Andrews;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.4
47;-22.27;-41.65;Tillandsia;Tillandsia;stricta;Sol.;stricta*;Sol. ex Ker Gawl.;Trochilinae;Amazilia;Amazilia;fimbriata;(Gmelin, 1788);fimbriata;(Gmelin, 1788);hummingbird;NA;p;0.06
48;-23.17;-44.2;Aechmea;Aechmea;gracilis;Lindm.;gracilis*;Lindm.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.03
49;-23.17;-44.2;Tillandsia;Tillandsia;stricta;Sol.;stricta;Sol. ex Ker Gawl.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;NA
50;-23.17;-44.2;Tillandsia;Tillandsia;stricta;Sol.;stricta;Sol. ex Ker Gawl.;Trochilinae;Polytmus;Polytmus;guainumbi;Linnaeus;guainumbi;(Pallas, 1764);hummingbird;NA;p;NA
51;-23.17;-44.2;Vriesea;Vriesea;procera;(Mart. ex Schult. & Shult) Wittm.;procera;(Mart. ex Schult. & Schult. f.) Wittm.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;NA
52;-23.17;-44.2;Vriesea;Vriesea;procera;(Mart. ex Schult. & Shult) Wittm.;procera;(Mart. ex Schult. & Schult. f.) Wittm.;Trochilinae;Colibri;Colibri;serrirostris;Vieillot;serrirostris;(Vieillot, 1816);hummingbird;NA;p;NA
53;-23.17;-44.2;Vriesea;Vriesea;procera;(Mart. ex Schult. & Shult) Wittm.;procera;(Mart. ex Schult. & Schult. f.) Wittm.;Trochilinae;Eupetomena;Eupetomena;macroura;Gmelin;macroura;(Gmelin, 1788);hummingbird;NA;p;NA
54;-23.17;-44.2;Vriesea;Vriesea;procera;(Mart. ex Schult. & Shult) Wittm.;procera;(Mart. ex Schult. & Schult. f.) Wittm.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;NA
55;-23.17;-44.2;Vriesea;Vriesea;procera;(Mart. ex Schult. & Shult) Wittm.;procera;(Mart. ex Schult. & Schult. f.) Wittm.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;NA
56;-23.17;-44.2;Vriesea;Vriesea;vagans;(L.B.Sm.) L.B.Sm;vagans;(L.B.Sm.) L.B.Sm.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;NA
57;-23.17;-44.2;Vriesea;Vriesea;vagans;(L.B.Sm.) L.B.Sm;vagans;(L.B.Sm.) L.B.Sm.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;NA
58;-23.17;-44.2;Vriesea;Vriesea;vagans;(L.B.Sm.) L.B.Sm;vagans;(L.B.Sm.) L.B.Sm.;Trochilinae;Polytmus;Polytmus;guainumbi;Linnaeus;guainumbi;(Pallas, 1764);hummingbird;NA;p;NA
59;-23.17;-44.2;Vriesea;Vriesea;vagans;(L.B.Sm.) L.B.Sm;vagans;(L.B.Sm.) L.B.Sm.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;NA
60;-23.28;-45.05;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot);fusca;(Vieillot, 1817);hummingbird;NA;p;NA
61;-23.28;-45.05;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;NA;p;NA
62;-23.28;-45.05;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Trochilinae;Clytolaema;Heliodoxa;rubricauda;Boddaert);rubricauda;(Boddaert, 1783);hummingbird;NA;p;NA
63;-23.28;-45.05;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Trochilinae;Leucochloris;Leucochloris;albicolis;Vieillot);albicollis;(Vieillot, 1818);hummingbird;NA;p;NA
64;-23.28;-45.05;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;NA
65;-24.5;-47.25;Vriesea;Vriesea;carinata;Wrawa;carinata;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;fro;p;1
66;-24.55;-47.24;Vriesea;Vriesea;carinata;Wawra;carinata;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;hea;p;1
67;-24.5;-47.25;Vriesea;Vriesea;ensiformes;(Vell.) Beer.;ensiformis;(Vell.) Beer;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;fro;p;1
68;-24.55;-47.24;Vriesea;Vriesea;ensiformis;(Vell.) Beer;ensiformis;(Vell.) Beer;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;hea;p;1
69;-24.5;-47.25;Vriesea;Vriesea;incurvata;Gaudich.;incurvata;Gaudich.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;fro;p;1
70;-24.55;-47.24;Vriesea;Vriesea;incurvata;Gaudich.;incurvata;Gaudich.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;hea;p;1
71;-24.38;-47.08;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Trochilinae;Hylocharis;Hylocharis;cyanus;Vieillot;cyanus;(Vieillot, 1818);hummingbird;NA;NA;NA
72;-24.38;-47.08;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
73;-24.38;-47.08;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
74;-24.38;-47.08;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
75;-24.38;-47.08;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
76;-24.38;-47.08;Aechmea;Aechmea;organensis;Wawra;organensis;Wawra;Trochilinae;Hylocharis;Hylocharis;cyanus;Vieillot;cyanus;(Vieillot, 1818);hummingbird;NA;NA;NA
77;-24.38;-47.08;Aechmea;Aechmea;organensis;Wawra;organensis;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
78;-24.38;-47.08;Aechmea;Aechmea;organensis;Wawra;organensis;Wawra;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
79;-24.38;-47.08;Aechmea;Aechmea;pectinata;Baker;pectinata;Baker;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
80;-24.38;-47.08;Aechmea;Aechmea;pectinata;Baker;pectinata;Baker;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
81;-24.38;-47.08;Nidularium;Nidularium;innocentii;Lem.;innocentii;Lem.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
82;-24.38;-47.08;Nidularium;Nidularium;procerum;Lindm;procerum;Lindm.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
83;-24.38;-47.08;Quesnelia;Quesnelia;arvensis;(Vell.) Mez.;arvensis;(Vell.) Mez.;Trochilinae;Hylocharis;Hylocharis;cyanus;Vieillot;cyanus;(Vieillot, 1818);hummingbird;NA;NA;NA
84;-24.38;-47.08;Quesnelia;Quesnelia;arvensis;(Vell.) Mez.;arvensis;(Vell.) Mez.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
85;-24.38;-47.08;Quesnelia;Quesnelia;arvensis;(Vell.) Mez.;arvensis;(Vell.) Mez.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
86;-24.38;-47.08;Quesnelia;Quesnelia;humilis;Mez.;humilis;Mez;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
87;-24.38;-47.08;Tillandsia;Tillandsia;geminiflora;Brongn.;geminiflora;Brongn.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;NA;NA
88;-24.38;-47.08;Tillandsia;Tillandsia;geminiflora;Brongn.;geminiflora;Brongn.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
89;-24.38;-47.08;Tillandsia;Tillandsia;stricta;Solander;stricta;Sol. ex Ker Gawl.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;NA;NA
90;-24.38;-47.08;Vriesea;Vriesea;carinata;Wawra.;carinata;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
91;-24.38;-47.08;Vriesea;Vriesea;ensiformis;(Vell.) Beer.;ensiformis;(Vell.) Beer;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
92;-24.38;-47.08;Vriesea;Vriesea;flammea;L. B. Sm.;flammea;L. B. Sm.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;NA;NA
93;-24.38;-47.08;Vriesea;Vriesea;flammea;L. B. Sm.;flammea;L. B. Sm.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
94;-24.38;-47.08;Vriesea;Vriesea;gigantea;Gaudich.;gigantea;Gaudich.;na;NA;NA;NA;NA;NA;NA;bat;NA;NA;NA
95;-24.38;-47.08;Vriesea;Vriesea;incurvata;Gaudich.;incurvata;Gaudich.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
96;-24.38;-47.08;Vriesea;Vriesea;philippocoburgii;Wawra.;philippocoburgii;Wawra;Phaethornithinae;Phaethornis;Phaethornis;eurynome;Lesson;eurynome;(Lesson, 1832);hummingbird;NA;NA;NA
97;-24.38;-47.08;Vriesea;Vriesea;philippocoburgii;Wawra.;philippocoburgii;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;NA
98;-24.38;-47.08;Vriesea;Vriesea;sp. 1;na;sp. 1;Lindl.;na;NA;NA;NA;NA;NA;NA;bat;NA;NA;NA
99;-24.38;-47.08;Vriesea;Vriesea;vagans;(L. B. Smith) L. B. Smith;vagans;(L.B.Sm.) L.B.Sm.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;NA
100;-23.36;-44.85;Abarema;Abarema;lusoria;na;brachystachya;(DC.) Barneby & J.W. Grimes;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;1
101;-23.36;-44.85;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;bil;p;0.71
102;-23.36;-44.85;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;bil;p;0.07
103;-23.36;-44.85;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;bil;p;NA
104;-23.36;-44.85;Aechmea;Aechmea;distichantha;Lem.;distichantha;Lem.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;bil;p;0.21
105;-23.36;-44.85;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Amazilia;Amazilia;brevirostris;Lesson;brevirostris;(Lesson, 1829);hummingbird;bil;p;0.87
106;-23.36;-44.85;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;bil;p;NA
107;-23.36;-44.85;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Anthracothorax;Anthracothorax;nigricollis;Vieillot;nigricollis;(Vieillot, 1817);hummingbird;bil;p;0.03
108;-23.36;-44.85;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;bil;p;NA
109;-23.36;-44.85;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Hylocharis;Hylocharis;cyanus;Vieillot;cyanus;(Vieillot, 1818);hummingbird;bil;p;0.07
110;-23.36;-44.85;Aechmea;Aechmea;nudicalulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;bil;p;0.03
111;-23.36;-44.85;Aechmea;Aechmea;pectinata;Baker;pectinata;Baker;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;bil;p;0.76
112;-23.36;-44.85;Aechmea;Aechmea;pectinata;Baker;pectinata;Baker;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;bil;p;0.24
113;-23.36;-44.85;Pithecelobium;Albizia;pedicellare;na;pedicellaris;(Dc.) L.Rico;Trochilinae;Melanotrochilus;Florisuga;fuscus;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;NA
114;-23.36;-44.85;Pithecelobium;Albizia;pedicellare;na;pedicellaris;(Dc.) L.Rico;Trochilinae;Hylocharis;Hylocharis;cyanus;Vieillot;cyanus;(Vieillot, 1818);hummingbird;NA;p;NA
115;-23.36;-44.85;Billbergia;Billbergia;pyramidalis;(Sims) Lindl.;pyramidalis;(Sims) Lindl.;Trochilinae;Leucochloris;Leucochloris;albicollis;(Vieillot, 1818);albicollis;(Vieillot, 1818);hummingbird;NA;p;NA
116;-23.36;-44.85;Billbergia;Billbergia;pyramidalis;(Sims) Lindl.;pyramidalis;(Sims) Lindl.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;NA
117;-23.36;-44.85;Nidularium;Canistropsis;seidelli;L.B. Sm. & Reitz;seidelii;(L.B.Sm. & Reitz) Leme;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;NA;0.18
